2024-05-30 09:26:46,809 INFO    MainThread:18372 [wandb_setup.py:_flush():68] Configure stats pid to 18372
2024-05-30 09:26:46,810 INFO    MainThread:18372 [wandb_setup.py:_flush():68] Loading settings from /home/clinton/.config/wandb/settings
2024-05-30 09:26:46,810 INFO    MainThread:18372 [wandb_setup.py:_flush():68] Loading settings from /home/clinton/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/settings
2024-05-30 09:26:46,810 INFO    MainThread:18372 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-05-30 09:26:46,810 INFO    MainThread:18372 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-05-30 09:26:46,810 INFO    MainThread:18372 [wandb_init.py:_log_setup():478] Logging user logs to /home/clinton/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240530_092646-5r36nl6k/logs/debug.log
2024-05-30 09:26:46,810 INFO    MainThread:18372 [wandb_init.py:_log_setup():479] Logging internal logs to /home/clinton/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240530_092646-5r36nl6k/logs/debug-internal.log
2024-05-30 09:26:46,810 INFO    MainThread:18372 [wandb_init.py:_jupyter_setup():428] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f1b8c154d60>
2024-05-30 09:26:46,811 INFO    MainThread:18372 [wandb_init.py:init():518] calling init triggers
2024-05-30 09:26:46,811 INFO    MainThread:18372 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2024-05-30 09:26:46,811 INFO    MainThread:18372 [wandb_init.py:init():571] starting backend
2024-05-30 09:26:46,811 INFO    MainThread:18372 [wandb_init.py:init():575] setting up manager
2024-05-30 09:26:46,834 INFO    MainThread:18372 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-30 09:26:46,840 INFO    MainThread:18372 [wandb_init.py:init():582] backend started and connected
2024-05-30 09:26:46,843 INFO    MainThread:18372 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2024-05-30 09:26:46,843 INFO    MainThread:18372 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-30 09:26:46,843 INFO    MainThread:18372 [wandb_init.py:init():670] updated telemetry
2024-05-30 09:26:46,945 INFO    MainThread:18372 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2024-05-30 09:26:47,416 INFO    MainThread:18372 [wandb_run.py:_on_init():2121] communicating current version
2024-05-30 09:26:47,607 INFO    MainThread:18372 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-30 09:26:47,607 INFO    MainThread:18372 [wandb_init.py:init():758] starting run threads in backend
2024-05-30 09:26:51,949 INFO    MainThread:18372 [wandb_run.py:_console_start():2101] atexit reg
2024-05-30 09:26:51,950 INFO    MainThread:18372 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2024-05-30 09:26:51,950 INFO    MainThread:18372 [wandb_run.py:_redirect():2024] Wrapping output streams.
2024-05-30 09:26:51,950 INFO    MainThread:18372 [wandb_run.py:_redirect():2046] Redirects installed.
2024-05-30 09:26:51,961 INFO    MainThread:18372 [wandb_init.py:init():798] run started, returning control to user process
